word、PPT	生物信息工程师
Maya	设计师,模型材质,影视后期,剪辑,MAYA动画师,平面设计,校对,maya教师,模型
excei	工程部主管
Office -Excel	人事/行政专员
excel	房地产评估,活动策划,制药研究员,与电气相关的工作，电气工程师,律师助理,机械设计,日语翻译,审计助理,德语笔译,助理
MS office办公套件	给排水设计师
sybase	产品工程师
C,C++,Objective-C	IOS移动软件开发
CISP (注册信息安全专业人员)	IT管理
金碟	会计助理
富通天下	人力资源
路由交换	嵌入式软件工程师
技术/工程设计	产品结构设计工程师,从事机电/给排水/暖通等工作的工程师、设计师,工程师,土建施工员
ClearQuest	测试经理
Soliworks	设备经理
JMP/Minitab等统计分析软件	客户技术支持,
信息系统/技术 (IS/IT)管理	产品经理，项目经理，技术支持,内控专员或者主管、连锁店经理,律师、法务、合同管理、,信息系统监理工程师
会计结算	实习生,财会审计税务相关类,财务副总的助理,项目部财务科科长,会计助理,会计专员
Office办公软件 	美术教师
premier	三维动画师,编辑
Windows	项目经理,企业架构师
Oracle DB( RAC )	软件工程师
系统测试	测试工程师,高级软件工程师
高级口译资格证	财务分析&内部审计师
sql	测试工程师,android 软件工程师 ,java开发,java软件工程师,java 程序员,java程序员
团队管理	研发，技术支持，销售，助理,Software project manager,技术总监/产品总监,技术主管,测量系统主管（三坐标测量）,店长,产品总监,雅致集成房屋（苏州）有限公司,Technical Director  and Product Director,产品经理
Agilent Design Systems (ADS) Simulation	射频工程师
vmware虚拟化	技术员
Microsoft Access数据库	行政前台,投资顾问,投资理财,市场助理,金融,数据分析师、用户研究师、市场分析师、情报处理、战略咨询,高级业务分析师,人力资源管理实习生,苹果,销售支撑
PostgreSQL	高级工程师,软件测试
软件开发	软件工程师,软件开发工程师,java软件工程师,软件开发测试,软件开发,技术支持,信息技术,越南语翻译,软件测试工程师,软件工程师/程序员
企业管理	经理助理,高层管理,财务分析,高级管理,咨询顾问,总经理及总讲师,人事部主管,工厂管理/厂长/经理/主管/销售业务,副总经理,厂长，生产经理,行政经理 办公室主任 总经理助理
c1驾驶证	综合主办
测试自动化	测试工程师
Operating Systems	Technical Support
Excel、Word、PPT等	电气设计
MSSQL	DELPHI 程序员,项目经理
Prince2	IT经理，项目经理
SAP GUI	BW 顾问
行政管理体系	人事行政主管兼CEO助理,办公室主任
分布式架构	系统运维工程师
framwork	程序员
ERP MES系统	总经理
律师助理	法务助理,法务专员 律师助理
java，网络	安全工程师
informix	系统工程师
flsh	插画师
Matlab数值分析软件	结构工程设计师
linux c	linux
Javascript	WEB前端开发工程师,项目经理,信息管理员,程序员
艺术设计	雕塑教师、雕塑设计师,平面设计学徒
维护-电器	工程经理
orcale	java工程师,JAVA开发
office，autocad	一般职员
spss软件	采购助理
建筑工程	施工员,合伙人
office word	弱电工程师
政府机构	培训主管 培训专员
外贸单证	外贸跟单员
PHP程序编写	网页设计师
HTML,js,jsp,jQuery	Java软件开发工程师
Office Applications-OutLook	生产经理,行政主管,软件工程师,品牌管理专员,销售管理、高级管理,文字编辑,linux运维工程师,市场主管/市场经理,人事行政专员,管理
office,cad	制造工程师，工业工程师
c++,c,java等	*java*
WebLogic、Tomcat、svn等	java后台开发
erp	管理培训生,行政助理
ERP / WF	总經理
网络布线	网络管理员
Python编程/脚本语言	软件工程师,软件开发/测试工程师,软件测试工程师,Senior_QA,开发,数据分析/数据挖掘
linux开发环境	IC设计工程师
熟练掌握JavaEE流行框架的使用并分析	软件工程师
员工关系管理 (ERM)	行政人事主管/办公室主任,培训主管
握多进程、多线程编程	硬件开发
Ajax ,jquery等js框架	java实习生
After Effect	影视后期制作
数据库SqlServer\Oracle	网络工程师
培训体系建设	培训师/培训专员,指导教师
Silodworks	机械工程师
C++/C#	游戏测试
office ppt	安全管理
javascript脚本	java程序员
Android UI开发技术	安卓程序员
文档制作	实施顾问相关
Windows Develop-Visual Basic .net	采购或销售总监或经理,产品经理,工程师,企划总监,嵌入式软件工程师,软件设计、测试/网络管理,高级软件工程师,ceo总经理,技术总监,网络总监,运营总监
PS、AA、Adobe InDesign	对外汉语教师
OutLook	咨询顾问
MS Word	技术支持/服务,产品经理
企业服务总线(ESB)	java软件工程师
oracle mysql	java软件工程师
eclipse	高级软件工程师,Android应用开发工程师
C,python	产品经理
Tableau	数据分析师
gcc、g++、vi等开发工具	高级软件工程师
铸造	铸造工程师
Hibernate框架技术	java软件开发员
熟悉TUXEDO交易中间件发布	项目经理
MCITP	IT服务经理
软件架构	高级软件工程师
CATIA P3V5-R19	机械非标设计
软件管理	销售、业务、电子商务
统计学软件SPSS	视工作性质而定
界面设计	交互设计师，产品经理，美术主管
HTML、CSS、DIV+CSS	java软件工程师
Multisim	风能、太阳能、变频器、纯电动汽车、混合动力汽车用直流滤波电容器研发经理,硬件工程师
新华斯维尔	预算员
掌握个人计算机的工作原理及逻辑组成和物理	店长
Protel99se	电气工程师,工程师,单片机开发、单片机编程,单片机工程师,电子信息类及测控系相关,电子工程师
PE、PR	游戏策划
Office工作软件	集团战略发展部 产品及编辑专员
3D Studio Max	平面设计师,外贸,美工设计 UI设计 三维设计,室内设计,软件测试,园林设计、施工员、室内设计、工程预算,后期制作，模型，设计。,特效师
广告, 公共关系	市场经理、品牌经理
vs2008	c/c++软件工程师
数据库设计以及SQL	Software Engineer
面向对象的编程(OOP)语言	软件工程设计师
Office Applications-OutLook Express	销售经理,生产经理,人事专员,会计,外贸经理、外贸主管、外贸业务,物流控制,办公室秘书,财务经理/财务主管,公司商务中心助理,保险部实习生
Struts2	java,Java软件工程师,需求工程师,软件工程师,高级软件工程师,Java开发工程师,java程序员
Linux C编程	软件测试工程师
3dsMax	工业设计
客户支持/服务	营业员,AE,销售代表，电子商务,财务,客服工程师,客服、前台,呼叫中心项目主管,客户经理
QC/JIRA/TestLink测试工具	软件测试工程师
C、C++	软件工程师,java程序员,ios软件工程师,DSP开发工程师
EXCEL,WORD等	经理助理，秘书等
VMware	系统工程师
Gnu Make	软件工程师
word,excel,ppt	实验员，研究员,会计
内部控制	财务总监、经理
普通话水平认证	无,会计助理,客户服务专员,文员 内勤 客服 营业员 销售等,平面设计师,HR,设计师，设计师助理,律师助理,外贸助理/外贸专员/业务跟单,设计师
Auto CAD软件	技术类
vb.net	软件研发工程师
Struts / Hibernate /	android
仓储管理	物流仓储主管,物流/供应链主管,业务主管,采购/销售/贸易
弱电设计	销售工程师,弱电销售
JAVA基础 	java软件工程师
3.曾写过html5页面；可以提供htm	web前端开发、网页设计
MS	Marketing Assistant,财务会计、社会审计,Process Engineer
sql servver, mysql	java工程师
Mastercam	机械工程师,区域销售
UG（NX）	结构设计工程师
CAD二维制图	电机工程师
LoadRunner	软件测试,软件测试工程师,测试经理
Axure、Visio	网站产品经理
fastdfs	数据分析师
.Net Framework	软件工程师,linux运维工程师，linux开发工程师,程序员
中级程序员	电子商务
项目管理	项目经理、技术总监,工程总监,管理培训生,PM / PR / MKT,技术部主管/自控工程师/项目技术支持,实施顾问,工程副总、总工程师,经理,销售经理,测试经理，项目经理，项目总监，产品总监
质量控制	水电工程师,产品经理,质量经理,高级管理,质量工程师,测试工程师
原子吸收光谱法	工艺研发工程师
机电学	工程部主任
Database-Access	软件工程师,高级软件工程师,项目经理,英语翻译,技术支持,派单  销售,稽核员,渠道主管,财务类或ERP,无
PROII	化工工艺工程师
计算机三级	技术员
cad，3d，手绘	设计师
三维算量软件应用	造价员
redmine测试管理工具	软件测试工程师
Bugfree	软件测试工程师
FoxPro 数据库	Finance
写作技能	网络管理员,组训岗,会计主管,策划、文案、人力资源、公关,文秘，助理,销售,行政经理或人力资源经理,语文教师,音乐编辑,环境 化工 农林牧渔 管理
电脑技能	项目经理助理--总工、项目总工、生产经理
Makefile的编写	嵌入式软件工程师
编辑	体育新闻编辑,行政、外联,助理,行政助理,翻译,企业文化、企业宣传、记者
广联达、斯维尔	土建工程师
HYPERMESH	CAE经理
justep X3	项目管理
熟练使用游戏编译器（CocosBuild	IOS开发工程师
心理咨询	客户关系管理
visio	技术员,策划（UX UI）,产品经理,实习生
CAM 350	高级硬件工程师
视频制作软件	人事助理
WINFORM	.NET开发
pscs2	专卖店设计
PhotoShop	3D美工,环评技术人员,iOS开发工程师
JavaScript	软件工程师,java软件工程师,java软件开发工程师,软件测试工程师,Java工程师,项目经理,软件测试,软件开发工程师,高级软件工程师,软件研发工程师
python	运维工程师,安全工程师
mySql数据库	java程序员
AOTU CAD	机械设计工程师
金蝶/用友财务ERP系统	会计
现场管理 	监理员
Quartus II	ASIC FPGA SOC 技术支持 分析师 架构 FAE
Outlook	服装业务跟单
网络推广	产品专员/产品助理/初级软件工程师,企划执行,运维工程师,经理,电子商务专员,广州嘉轩包装材料有限公司,网络推广
船舶操纵与避碰  雷达操作	实习生
方案规划及架构设计能力	信息(技术)总监
Oracle ERP	客服&物控专员,销售工程师、客户代表,关务主管,高级项目顾问
DATABASE	销售总监
Dreamweaver Flash	网页设计与制作
平面设计10年经验	平面设计
Unix/Linux/BSD Devel-C++	电气工程师,软件工程师,高级软件工程师,副理,经理助理,数据采编,售前支持工程师,测试主管,产品方案,高级测试工程师
Linux环境下编程	软件工程师
liunx	网络管理员
Catia	汽车,CAD工程师
Coreldraw	用户体验设计师,平面设计,工程师,编辑
性能测试	测试经理,软件测试工程师,中高级软件测试工程师，测试经理,工程师助理和实验员
方正飞腾、大洋、EDIUS	编辑
用友U8	会计,财务会计,资金管理经理,高级财务及其相关职位,主辦會計,财务经理
HTML/CSS	java软件开发工程师
HTML Help Workshop	测试工程师
英语国家六级	税务、财务、行政助理
Weblogic	软件开发
Auto CAD 	Product Engineer
普通话二级甲等  	备件采购
pro/E	质量技术工程师,散热、热设计工程师、结构工程师,机械设计师
教师证	护理教师
office软件	水利/水电设计,数据库管理员,工程师,空乘,财务,C++软件开发工程师,人力资源部经理
时间管理	营销员,PMC经理,编辑 人力资源助理 行政管理
C程序设计	Java程序员
设计　编程	厂长助理    人事 后勤副经理
心理学	职业经理人,大客户经理、销售管理
Keyshot	工业设计实习生
c语言	软件工程师,java开发工程师,技术支持工程师,测试工程师,软件研发工程师,冶金,嵌入式软件工程师,电子相关,光学工程师,IT helpdesk
excel VBA、SAS编程	精算类
ATUO CAD	与本专业相关的工作
pro/e	机械工程师,机械研发工程师,机械设计工程师,交互设计师
数学软件MATLAB	汽车相关产品设计
办公软件	助理工程师,生产厂长,五金模具设计,技术支持工程师,软装设计助理,电气传动工程师或主管,经理,质量检验管理,总监,室内外设计师助理
雅思证书	项目经理,机械工程师,银行、金融、人力或销售相关,法务专员、咨询助理、翻译
业务跟单	广告/媒体/影视/公关/媒介/百货/连锁/零售/服装/纺织/皮革,区域经理
MSC Nastran	机械工程师
钣金设计	机械钣金结构工程师
STL	C++软件工程师,C/C++开发
通过英语CET-6	分析技术员
Mantis	测试主管
Oracle/SQL	软件开发工程师
办公室管理	环保工程师,行政/人事专员、助理,行政经理,人事助理
计算硬件维护	零售经理
Proe 三维机械建模	项目开发
助理 	技术员
su	景观设计师,景观设计师或景观设计师助理
fluent	研发工程师
Protel	电子工程师,专利撰写人,电子工程师/助理，单片机工程师/助理,电路工程师,电子工程师/技术员,嵌入式软件工程师,Equipment Engineer,机械设计相关
Corel Painter	软件工程师,视觉设计,插画，动画分镜 脚本 原画 动画 角色设计
焊接	技术员,单片机、电子研发工程师,技术工程师,硬件工程师,电子工程师,工艺工程师
数据库维护	研发工程师
VRML/VIRTOOLS/PS	开发人员、设计师、机械工程师
JS,AJAX,JQuery	JAVA程序员
注册会计师	 内审主管,人事专员/招聘专员,助理,部门经理
Data Analysis	Data Analyst / Business Analyst
Office办公软件	施工员,审核员,交互设计师,汽车线束工程师,设计主管/美术指导
Sun Solaris	测试经理
Microsoft Internet Explorer浏览器	财务 审计
MS excel	环保工程师
全国计算机等级考试（三级数据库技术）	电子工程师
ArcIMS (Arc Internet Map Server)	产品经理
ERP系统管理	计算机维护员
数字信号处理 (DSP)	软件开发工程师,研发人员,项目经验
广联达图形算量计价软件	资料员
VFP	市场专员
嵌入式开发	嵌入式工程师
AS400开发	需求分析师
单例模式、工厂模式、装饰模式	java开发工程师
硬件维修	综合维修
速达V3	会计
财务统计	客服经理
LaTeX Typesetting	数据分析,软件工程师,实习
Shell编程	C软件开发工程师
c#软件开发	工程师助理
HFSS	电子工程师,技术员
Hyperion HFM	财务分析经理
可编程逻辑控制器（PLC）	电气工程师,项目主管,技术学习,组长,技术员,检测认证工程师,单片机开发,区域经理,机电工程师,装备，维修
C和Objective-C	IOS开发工程师
JavaEE	java软件工程师
Winform	自动控制
jsp+easyui+javascrip	java软件工程师
consumer networking	客服
天正电气	项目经理
Visual C++	产品开发与试制试验,研发工程师,window软件工程师
Cet-4	研发助理
cisco认证	网络工程师
CGI (通用网关接口 )	高级软件工程师
计算机二级c语言	电子工程师
HyperMesh	机械工程师
VideoStudio	文案策划
包装设计	品牌/产品经理
工程软件	钢结构工程师
编程语言	管理培训生,软件开发
SAP BW	Supply Leader
计算机2级C语言	工艺员
Linux系统操作及其编程	全职
电路画图软件	电气工程师
Ps Ai Dw	平面设计
win32	VC
Microsoft Visual Studio .NET	测试组长
jBPM5	Java
办公室软件	人事专员,组训
css	软件工程师,php程序员,前端工程师,软件开发,Java软件工程师,java软件工程师,java 高级工程师,高级前端工程师
CCNA (Cisco Certified Network Associate)	软件测试工程师,技术支持工程师,网络工程师,市场/营销/拓展（总监）、市场/营销/拓展（经理）,网络安全工程师,技术总监,技术工程师,呼叫中心经理 客服经理,ISS部门经理,销售经理
Bugzilla	测试经理,软件测试工程师
DWDM（密集波分复用）	售前，通信，网络，销售，项目，管理
HFM	会计
PHPWind	iOS软件工程师
信息技术 (IT) & 信息系统 (IS)	客户经理,SAP 咨询顾问,游戏策划,C/C++软件工程师,技术工程师
电脑网络调试与维护	电脑技术员
ERP-SPSS	高级专员,行政人事部部长,对公客户经理,海外商务总监,管理类，运营类，研究类,技术支持,投资助理,咨询顾问,审计/顾问经理,媒介策划执行
RHINO	技术员
Lua	电气工程师；软件工程师；金融类,移动互联网产品经理
SWING	高级软件工程师
通信标准	android工程师
OpenGL编程库	软件开发工程师,游戏引擎工程师
JQuery	软件工程师
计算机日常维修	水电工程师
Microsoft Exchange Server 2003	系统管理员
设计相关的2D、3D设计软件使用	产品经理
ejb	软件工程师
indesign	印刷,营销策划,品牌,美工设计课股长,平面设计,插画师,美术编辑
Final Cut	记者（国际方向）
catia	机械工程师,产品工程师
jquery插件的使用	软件工程师
用友U8,U9	会计
VMM	销售工程师
服务器配置维护	软件测试工程师
cet4	人事主管
电磁兼容性 (EMC)	EMC/一致性测试工程师
cet6	会计
Microsoft 技巧	供应链项目经理
奖学金	市场部助理
电脑操作	服务经理 售后经理 总监,英语翻译,英语教师,新闻编辑 商务助理,采购员,高级管理会计师,销售助理,雇员,后勤
3.能够熟练应用struts、hiber	java软件工程师
ajax	软件工程师,网站建设
office办公	土建施工员
Origin、Jade、SEM、XRD、	研发工程师
jQuery	软件工程师,java软件工程师,java工程师,Web 前台工程师,JAVA开发,工程师,软件开发工程师,Java工程师,java开发工程师,java软件开发工程师
集成电路 (IC) 设计	技术研发，硬件工程师,可靠性工程师
C#,JAVA	Software Engineer
Jquery使用	Java工程师
SU，CorelDraw，lumion	设计助理
Network-ATM	研发主管 高级硬件工程师 嵌入式硬件 嵌入式系统
GDI+图形界面编程	软件工程师
Windows Develop-Delphi	软件工程师,技术总监/经理,电气工程师,证券分析师,嵌入式 电子 研发工程师,ERP工程师,总经理,信息安全经理,SFCS工程师
EXCE	网站编辑
opencv	图像算法工程师
EDA工具	硬件工程师
router	网络工程师
熟悉SVN的使用	软件测试工程师
OCP-AD Oracle Certified Professional - Application Developer	产品经理
origin	工程师
2D 绘图	美工
VB，VB.net	对日高级软件工程师
Oracle、mySql，SQL等数据库	web前端工程师
SOLIDERWORKS	材料工程师
INDESIGN	设计总监
Remedy Help Desk	网管
CFD 软件	工程师
unix/linux	运维工程师
3dx max	平面设计
设计模式编程方法	软件工程师
电话技巧	行政助理
英语等级证书 (CET)	机械设计工程师,人事专员,技术员,经理助理,售前技术支持工程师,供应链管理实习生,储备干部,合规品管岗,技术助理,店长
hibernate、struts	JAVA开发工程师
CAD制图员	销售担当
Win32 /MFC、STL、COM	C/C++程序员
Word等办公软件	土建工程师
C#语言编程基础	IOS开发工程师
专业英语八级	英语翻译,英语教师,商务经理/项目经理助理,外贸业务员,公诉一处办案组,财务主管、收购并购尽职调查员,财务方向,综合部部长\翻译,教师
SQL Server/Linq	.net程序员
Project Manage	项目经理
Delphi语言	部门经理
Microsoft SQL Server DBA (数据库管理)	数据库管理员，文员，其他,数据库管理员
3D max、Auto CAD	市场部经理
SEO	网络营销
示波器/逻辑分析仪	FPGA开发
matlab编程	数据挖掘工程师
Transact-SQL	软件工程师
基本故障排除	区域经理
CSS3	敏捷教练
能够使用Swing技术完成窗口界面	软件测试
维护 - 暖通空调	工程业务
Tomcat	java程序员,java,Java软件工程师
SW-6	设备设计
PDS	化工设计
Microsoft Visual C# .NET	项目经理,技术主管
Axure RP	网站策划 数据分析员 网站更新维护,UI设计师
MS Office word	Consultant 
CAD等	项目经理
行政管理策略	助理兼司机/销售/业务经理
IBM WebSphere DataStage	软件工程师助理
管理学	C/C++软件开发工程师,生产经理
法律行业	法律顾问,法务主管/专员,法律咨询顾问、法律经理、法务总管
硬件	设备管理维护
linux程序设计	软件开发工程师
手机软件测试 	手机软件测试工程师
熟练调试CISCO路由器的VPN应用	网络工程师
word，excel，ppt	营业助理
理财规划	经理,教务助理,培训,行政内勤、出纳
Windows Develop-UML	Business Analyst,软件开发,系统架构师,软件工程师,售前技术支持工程师实习岗,软件测试主管,部门经理、系统架构师等,java程序员,程序员
Hardware-PDA\/Handhelds	四川移动高级业务师,高级系统工程师
熟练掌握办公软件 	银行合规 法务主管 法务专员
ppt，photoshop	软装设计师
MYSQL	JAVA工程师,C/C++软件工程师
熟悉java编程	软件工程师  网络管理员 系统管理员 软件测试
VMWare	售前,系统集成工程师,IT/Network
系统架构设计	部门经理
php、html、mysql	项目管理培训生
Database-MSSQL SERVER	软件工程师,项目经理,高级软件工程师,软件开发工程师,测试工程师,技术总监,java软件工程师,产品经理,研发工程师,IT主管
酒店管理	经理助理,总经理,酒店西餐领班
Python程序开发	软件工程师
Asp.net	UI设计师
pro	机电工程师
SPIN顾问式销售	销售总监 市场总监 大客户/区域经理
BPM	 项目经理
TCP、UDP网络协议	软件工程师
网络系统硬件	网络管理员,助理
B2C 电子商务营销	电商经理,电子商务主管、电子商务经理、企业网络推广营销专员
思维导图软件	市场副总
Matlab	机械工程师,化验员,风险管理,软件工程师,robotics,研发,C++软件开发,金融研究员,模拟集成电路设计工程师,量化研究员
Hibernate,Mybatis	程序员
DoE	wu
计算机软硬件维护	IT技术支持工程师
人员管理	生产主管,呼叫中心客服主管,店长,维修工程师
AUTO CAD 二维设计	机械工程师
Design/Media-AutoCAD	项目经理,工艺工程师,设计,研发工程师,电气工程师,总经理,机械工程师,设备工程师,工程师,生产经理
j2ee技术	java实习生
会议管理	信息化管理，信息分析,主持人、播音员、配音员,行政
Windows Develop-FoxBASE+	市场主管
团队精神	银行柜员、大堂 证券公司投资顾问,产品经理,实习生
注册造价工程师	造价工程师
Dreamweaver.	平面设计
Tomcat、Jboss	java软件工程师
机械装配	技师,机械
英语六级证书  	教师  讲师
Illustrator CS3	平面设计
人际技能	Marketing Manager
用友与金蝶财务软件、sap系统	会计
IPv6网络软件	软件测试经理 高级软件测试工程师
windows程序设计	软件工程师
DIALux 照明应用配光设计	技术总监
Pro/E 三维制图	机械设计和制图
江苏省三级偏软	软件测试工程师
熟练运用用友u8软件	会计、文员、出纳
Photoshop	设计师助理,外贸业务员,行政,设计助理,机械工程师,地质矿产类总工程师,助理工程师,无,销售管理,用户体验设计师
word 熟练	财务会计 会计助理
3D-MAX	游戏文案
sql server	情报信息分析员,java程序员,java软件工程师,程序员
Android开发	项目经理
Office word	对外汉语教师
PROE、AUTOCAD	机械设计师
计算机应用技术 	技术支持工程师
3D Max	室内设计师,园林施工员
熟悉uboot等bootloader源码	嵌入式软件工程师
Div+CSS	Java开发工程师
C++\Java	软件开发人员（C，C++，JAVA，其他语言需要培训也可） 
互联网应用	外贸销售经理,销售经理
pcb设计	全职
Adobe promiere	内容剪辑
Dreamweaver	公关活动策划,编辑,市场部经理,交互设计师,策划专员,平面设计,活动推广文化传播,人力管理助理、行政助理、商务秘书、,UI设计师,人力资源助理
无线电工程	技术上的都行
Oracle，MySQL数据库，	java软件开发工程师
Word  Excel	外贸跟单 金融销售相关职位  北京,文职类
金算盘财务软件	会计助理 财务助理
Ansoft	电气工程师
Struts2，Hibernate，Sp	java软件工程师
web前端	java软件工程师
英语，计算机	市场经理
熟悉arcserver,熟悉AO库	gis开发
局域网 (LAN)	技术员
RTL 设计	助理工程师
Microsoft Visual Basic	数据分析员,运营总监
烽火认证光网络（EPON）工程师	技术支持工程师
xml	uc开发,Android软件开发,android开发工程师
UG8,0	金属材料工程师
PADS/Power PCB	硬件工程师
word excel	淘宝客服
各类上位机、下位机编程软件	电气设计工程师
Mapinfo	无线通信设计项目经理
MCDBA	水景景观
嵌入式交叉编译开发环境的搭建	嵌入式软件工程师
Help Desk-Windows 2000 Pro\/XP	系统工程师,IT主管兼行政主管,工程监理,产品经理,客服部经理,行政类,市场部经理,电气技术员（炼钢厂自动化和仪表区域负责人）,物流主管,律师
NC财务	ERP实施顾问
word、excel等office办公软	会计
CAD、Proe	机械设计、质量检验
Minitab	会计助理,咨询顾问,资深工艺开发工程师,SQE
电子设备	弱电现场工程师
大学英语六级(CET-6)	法务专员
路由交换方面	liunx系统运维
气相色谱法-质谱法 (GC - MS)	化验员 技术员 实验员 研究院,质量控制，生产管理，研发，培训生
ERP财务软件工程师	出纳
英语（熟练）  	研究员/售后工程师/质量工程师
Win32、MFC等相关的windows	C++研发工程师
mfc	软件工程师
proe、Autocad	结构工程师
ssh	项目组长,java软件开发工程师,java开发,Java高级工程师
Qt GUI(图形用户界面)工具包	软件工程师,嵌入式开发,Java开发工程师,ios 开发工程师,买手、行政、策划，程序员，测试员、培训、教师、采编、文案、广告
Excel/VBA	投资助理
斯维尔计价、 算量	造价员
Sql Server	C++软件相关开发,web前端开发
win32编程	C++软件工程师
Flex语言	java软件工程师
数据库-Oracle 	软件测试工程师
编程方法	通信工程师、系统集成、软件测试等
c++	软件工程师,Android 开发工程师,java工程师,监工,软件工程师 高级软件工程师,网络工程师,软件开发,linux驱动工程师,C/C++软件工程师,高级软件工程师
VF数据库	会计
电路组件	电子工程师
CAD制图	办公文员,助理工程师
掌握面向对象的设计与开发，熟悉常用设计模	售前技术支持
脚本语言：javascript	软件测试工程师
Photo shop	销售
Macromedia Fireworks	平面设计,产品经理,实习生
pro.e	助理工程师
word、excel、ppt等程序	副总经理
excel word ppt 	会计助理
Linux c	android应用开发
SQL SERVER	实习生,java软件开发,高级项目经理、部门副经理,ITmanager,高级软件工程师/技术经理
sql service 、oracle	java程序员
NOTES	质量主管
Lighttools	光学设计工程师
AutocAD工程制图	室内设计师 精装修设计师
熟悉单点登录及开源产品整合(UCente	php程序员
plc编程	电气研发工程师
了解Linux环境c和shell编程	java开发工程师
javascript/jQuery	软件工程师
Verilog	研究工程师
网络故障维护，中小型网络创建和管理	IT技术员
网络架构与组成	设计师
AutoCAD高级制图员	加工中心
文件和目录的各种函数的应用	linux c开发工程师
AUTOcad	施工员,研发工程师
axure RP	视觉设计师
AJAX 	软件工程师
Coreldraw, photoshop	Sourcing manager
并发版本系统(CVS)	咨询师\销售,java软件工程师
windows环境与 linux环境	软件工程师
新产品开发 	LED结构 项目工程师
CCNP (Cisco Certified Network Professional)	地市技术支持负责人,网络工程师
功能测试	硬件测试
ERP  	人事行政专员
汇编语言	电子助理工程师,电气业务员,电气设计工程师,软件开发工程师,软件工程师,调试工程师,增值服务,FAE 嵌入式软件研发,c++开发工程师,嵌入式工程师
c语言编程	工程师
JS、Ajax、JQuery	Java软件工程师
熟练运用Office软件	翻译
久其、用友财务软件	会计
VMWare环境搭建、	软件测试工程师
js	php程序员,.net 程序员
transcad	交通规划师
INTEBAS	实施顾问
SQL Server 存储过程的编写	程序员
英语六级	外贸业务员,日语翻译,人事专员,会计,人力资源主管,无,销售顾问,对外汉语教师,总经理助理,销售代表
测试知识	测试工程师
Oracle 、MySQL	java开发工程师
软件工程	软件测试师,软件工程师,senior software testing engineer,java软件工程师,程序员
LabVIEW编程语言	技术员,测试工程师,无,机械工程师,machnical engineering,软件工程师、测试工程师、管培生
熟练编写SQL语句	java开发
Web Develop-XSL\/XSLT	技术总监 项目经理,软件测试,java程序员到项目负责人
solidworks	机械工程师,助理工程师,自动化机械工程师,技术性管理类,机械设计制作及其自动化,机械设计师,机械工程或设备工程师
officer	初级工程师,电气工程师
WORD、EXCEL、PPT	机械工程师
精通photoshop	软件工程师 嵌入式工程师 单片机工程师
Win32内核编程	C++软件工程师
Office 2003	机械制造项目经理
3D max	城市规划师
电气设计	电气技术员,电气工程师
Web前端	Android开发工程师
ZigBee	软件测试工程师、技术支持
上市规划	金融行业会计、审计
网络协议	技术工程师,软件工程师,测试工程师,售前技术 项目相关,网络或通信相关职务
经济分析	实习生,公关专员/助理、公关主管
poi	高级软件工程师
熟练运用Tomcat、JBoss、Weblogic等服务器	java软件工程师
Xcode.5.x	iOS开发程序员
Office 办公软件	机械工程师,售前技术支持
商务礼仪	商务代表
Actuate报表	java软件开发工程师
VC，C++，.net，C#	软件测试工程师
ORACL	Java开发
Photoshop CS6	ui设计师
Photoshop CS5	施工图设计师
altum design	嵌入式硬件工程师或助理
ARM（进阶精简指令集机器）	嵌入式软件工程师
环境监测	化验员,检测人员、技术员
CASS	测量室主管
plsql编程	软件工程师
企业网站维护	外贸经理
sql语言	软件测试,java软件工程师,android工程师
PS软件	技术支持（生产，售后）
互联网技术	高级软件测试工程师
幻灯片制作	活动策划
visual studio操作	C#.net程序员
Microsoft Office 2007	会计,机械设计工程师,销售代表,会计 审计 财务,项目执行,erp实施顾问,市场主管 市场专员  销售主管 销售经理 运营主管,软件工程师,客服专员,区域经理
新闻报道	科技管理工作,编辑 记者
sqlsever	c#软件工程师
Microsoft Office 2003	高级产品经理,结构设计工程师,化工精英,渠道大使,律师助理商务经理,Sales Assistant,电力 电子 仪器仪表 硬件设计等相关职位,电子产品研发,(应届),研发工程师 数据分析工程师
遥感图像处理	技术支持工程师
Microsoft Office 2000	销售
物业管理	物业副总经理/总监
数据库 SQL Server	.Net软件工程师
Office办公自动化软件	高级品质工程师
广域网 (WAN)	网络工程师
计算机认证	会计,UI设计师 平面设计师 ,投资经理,南城支公司总经理,人事专员,单片机软件工程师,客服经理,嵌入式软件工程师,葡萄牙语翻译,销售
嵌入式Linux及ARM	嵌入式软件工程师
CFD软件FLUENT	CFD仿真工程师
熟练使用黑盒测试和并了解白盒测试	软件测试
工程监理	工程部经理,建筑工程管理
客户关系管理 (CRM)	销售代表,工程师,外贸专员  翻译,销售代表 业务员,组训,销售总监
电话	行政助理，前台接待
日语输入方法	日语翻译,行政助理
DIALux	施工图绘图员
InTouch（Siebel）	销售
Windows Develop-Visual C++	软件工程师,软件开发工程师,技术总监,高级通讯协议开发工程师,助理工程师,高级软件工程师,架构师 研发经理 高级工程师 C++ erlang 广告引擎,软件测试工程师,项目经理、产品经理、开发测试及软件行业相关职位,销售经理
ProtelDXP	研发 经理 主管 总监 技术,电子工程师/技术员,电子工程师,测试工程师,电子项目工程师
CIM/MES	IT Manager
农场管理	外派职员
PowerPoint	管理培训生,文员,行政专员,销售代表,行政/人事助理,渠道专员,活动策划,客服专员,行政管理,人力资源管理
