word、PPT	生物信息工程师
Web开发框架(SSH/Grails)	软件开发工程师
Microsoft office办公软件	实习生
金蝶财务软件的应用	助理
服装设计	设计师助理,兼职导游
STM32	硬件工程师
一般图片处理软件	项目客服专员，业务客服专员
WORD、EXCEL	编辑
销售支持	销售 业务,行政主管
CSS (层叠样式表)	商务助理,软件工程师
oracle数据库操作	软件工程师
prol-e	行政类
AtuoForm	冲压工艺工程师
英语四级	客户经理,会计,经理助理,管理培训生,软件工程师,会计助理,技术支持,日语翻译,行政助理,人事行政助理
培训培训师	人力资源 招聘 培训
计算机英汉文字录入证书（初级）	银行柜台人员
shell脚本	 运维,项目经理
网络、操作系统、数据库、中间件等知识	软件测试工程师
Research Operating Systems	前厅接待
波斯语	海外工作
系统集成	Program Manager
Ideas	产品开发工程师
ｆｌａｓｈ动画	FLASH
熟练掌握Linux网络安装、配置、日常管	运维工程师
sqlserver mysql orcl	java软件工程师
国家英语六级 	人力资源岗位
PS基本图片处理	电子商务专员
硬件故障	维修车间主任
精通html、div+css布局页面兼容	网站美工
德语	实习工作人员,Customer Service,董事长助理,新媒体及市场助理,Senior Market Analyst,德语教师,德语教师，德语翻译，德语助理。,行政/后勤/文秘、翻译（口译与笔译）、教育/培训、销售支持/商务、销售管理
word	工程师,会计,网站编辑,会计助理,平面设计师,市场推广主任,人事,预算员,审计主管,产品专员
arm9	嵌入式linux驱动层
lamp环境部署	运维工程师
Mock Up	产品经理助理,产品经理
Network-Routers	视讯事业部.POLYCOM售后工程师,经济分析,数据测试工程师,运营总监、部门经理,高级技术经理/支持工程师
html，css，js，ajax，jqu	java软件工程师
Microsoft ASP.NET (Active Server Page)	软件工程师,软件开发工程师,.net软件工程师,系统架构师,软件研发经理,.NET软件开发工程师,高级软件工程师,VC软件工程师,java开发工程师,软件开发初级工程师
linux操作	oracle数据库管理员
X86，ARM，AVR等体系架构	单片机开发工程师
局域网网络	电气主管
sketch up	室内设计师助理
Windows Develop-Visual FoxPro	销售代表,实习编辑,公司业务柜员,高级软件工程师,采购专员,人事主管,英语翻译 人事总务 项目助理,IT技术总监，IT项目总监，IT 总监,销售
chemdraw	研发
DOJO	JAVA软件工程师
用友软件	会计助理,会计,会计主管,出纳
计算机国家二级	销售
计算机网络	网络工程师,电气工程师,网络管理员,销售代表,技术支持工程师,软件工程师,产品策划,嵌入式,系统维护员,高级软件测试工程师
AUTO-CAD	电气工程师/技术支持工程师/检测员
Web Servers	软件工程师
沟通技能	销售代表,杭州区域客户经理,行政人事总监,项目翻译、行政、外贸,预算控制分析,大学教师或咨询顾问,数据分析师、金融、人力资源、数学教师,审计，财务类,销售零售经理,行政/专职司机
Delmia	仿真主管
ERP-J.D. Edwards	审查凭证、校验凭证
软件的测试	软件实施专员
OFFICE套件	西班牙语翻译
项目协调	新能源汽车；项目经理
Autodesk CAD	室内外装饰装潢设计
SQLSERVER	软件工程师,外语教师
WORD、EXCEL、POWERPOINT	秘书、助理、人力资源
PPT,EXCEL	外贸专员
Jsp	程序员
办公系统	办公室主任
Unix/Linux/BSD Develop-C	WLAN AP 软件开发,嵌入式软件工程师实训生,软件开发,软件工程师,Product Sales Dirctor,CDN cache部分研发,产品销售总监,C/C++软件开发工程师,驱动软件工程师,linux软件工程师
与人沟通，	信贷经理
cadence	硬件工程师,工艺工程师
SOLDWORKS	研发主管
Perl编程语言	软件工程师,技术支持工程师,数据分析师
WORD/EXCEL	研发员
FPGA	软件开发工程师
flash动画设计	网站编辑
程序员二级	律师
报告技能	用户体验研究/设计咨询
管理流程制定	网络管理员
工程技术	质监站副站长、检测中心主任,土建工程师,产品经理
ansys	液压工程师,结构力学工程师
投资管理	总裁 总经理 副总裁,物流供应链总监/经理
软硬件集成	硬件工程师
HTML、CSS、JS	web前端开发
AI图像文件编辑	结构工程师
高级办公自动化	学生
Affter Effects	平面设计
嵌入式Linux系统	嵌入式系统工程师
C&C++	Java工程师
Mind-manager	产品经理
CATIA CAD（计算机辅助设计）	机械工程师,机械设计工程师,助理工程师,咨询顾问 项目经理 法语,机械工程师、车用电器工程师、汽车灯具工程师,工程师,非标机械工程师,汽车类,白车身工程师,车身设计工程师
EPLAN Electronic P8	电气工程师
CAD / CAM (计算机辅助设计/计算机辅助制造)	机械设计,机械设计工程师,技术员,机械工程师,应聘行政人事、资料员,技术支持工程师,工程师,周末兼职,见习技术员,销售
使用SQL数据库及Oracle数据库	软件测试工程师
自动化	手机自动化工程师
SS2H框架	java软件工程师
CFX	研发工程师
TCP/IP网络编程	软件工程师
Adobe Indesign	设计师
用友BQ（商业智能平台）BI分析	移动应用研发
java传统开发	android开发工程师
Office word,excel	土建造价工程师
office	机械工程师,CAD绘图员,工程师,电商、管理、外贸、营销类均可,软件工程师,设备主管,项目管理,网站运营,土建工程师,造价员
css+jquery+html	php程序员
数据挖掘	产品经理,数据分析 数据挖掘 搜索研发
MICROSOFT OFFICE 2	拓展总经理
SQL Server2005	java 程序员
Design/Media-Authorware	UE 交互工程师,导演
premier、photoshop、AE、edius	影视后期制作
Allegro电子线路软件	NPI工程师
广西计算机一级	研发员
oracle，mySql数据库	程序员
木工	土建/结构工程师,综合维修、司机、销售、普工
NSUserDefaults	ios软件工程师
DB2	实施工程师,高级业务专家,产品经理,软件实施工程师,技术支持
51单片机	电子工程师
HTML5/CSS3	前端开发工程师
SAI	插画师
c,c++	软件开发
C/Python	数值策划
分子生物学	不限
Office Applications-Word	人事专员,项目经理,实习生,会计,客户经理,行政助理,总经理,副总经理,财务,区域经理
证券	职员
servlet	java开发工程师,Java软件开发工程师,java程序员,JAVA开发,java开发软件工程师
PRO	机械设计员
ERP操作	运营中心,出纳
CAD及OFFICE	结构设计师
Unix/Linux/BSD Devel-Shell Scripts	软件工程师,海外技术支持工程师,测试工程师,Developing Engineer,系统需求设计师,J2EE工程师,信息总监CIO/技术总监CTO,unix,后台开发工程师,DBA数据库管理员
欧姆龙、台达PLC	技术工程师
JScript	软件工程师
SAS	数据分析师,会计,理财顾问,无,薪酬绩效类,金融研究员,数据分析员,测评师 数据分析师,营运副经理,分析
回归测试	软件测试
SAP	行销企划,会计助理,linux应用工程师,工业工程,运营管理,Market planning and Administration ,大客户专员,财务审计（实习生）,财务经理,财务控制
掌握常用SOCKET网络编程技术	linux软件开发工程师
计算机应用	销售总监
基本数据结构与算法	IT审计
eclipse和tomcat	java程序员
网络管理	网络管理员,运维  技术支持 网络管理员,网络工程师,网络管理,软件工程师,全职,工程主管,信息技术主管,网络工程师 网络管理员,部门经理
solarwinds	中国光大银行
Boost库	高级软件工程师
Simulation	结构工程师
sqlserver2005	软件实施工程师
Windows Develop-Java	软件工程师,软件开发工程师,软件测试工程师,java软件工程师,java程序员,java开发工程师,软件测试员,项目经理,产品经理,测试工程师
sqlserver2008	javaee程序员
spine骨骼动画	c++客户端
Flash Builder	flash as3.0编程
能力成熟度模型集成 (CMMI)	技术总监
数据库方面的工具：oracle	高级咨询顾问
C(C++)	能源化工
AutoCAD中级证书	生产技术处工程师
金蝶K3	采购经理
Unix Shell编程	软件工程师,助理软件工程师,测试经理,hadoop  运维 架构,云计算 / IT工程师,高级软件工程师,C/C++软件开发工程师,研发工程师
CoreJava	java软件工程师,android 软件工程师
PROE5.0	工程助理
驾驶执照c1	市场营销
国家计算机二级（C）	化工制药类研发、化工生产设计工程师
公钥基础设施(PKI)	项目经理
用友 U8	高级财会主管
对日常数据的管理和维护	土建施工员
Web Develop-HTML	软件工程师,产品经理,.net程序员,高级软件工程师,软件测试工程师,java软件工程师,项目经理,.net软件工程师,技术支持,软件架构师(J2EE方向 Gis/数据挖掘)
绩效考核	行政人事部主管
Modelsim	FPGA工程师
单元测试	软件测试工程师
Rhino	工业设计,工业设计、造型设计、创意设计师（汽车外观创意设计优先）,市场专员（助理）
CSS、JS、Jquery	sharepoint 工程师
protel	助理工程师,电子工程师,客服工程师
MS offices系列软件	数据分析
c#语言	c++软件工程师
Proe	项目助理\专利助理
托福证书	国际业务中心实习生
R project	市场研究员
Database-MySQL	软件工程师,项目经理,技术经理,Project Manager,高级软件工程师,开发工程师,高级项目经理,软件测试工程师,java软件工程师,软件开发工程师
鲁班安装计价软件	建筑电气工程师
英语六级  计算机二级	硬件工程师
Pcgive	实习生，实习珠宝鉴定师
熟悉PLC  	电气调试
LabView	测试部经理，项目经理
CAXA制造工程师	项目主管工程师,机械/结构工程师
物理学	总经理/副总经理
Windows Develop-MFC\/ATL	高级软件工程师,项目经理,软件开发工程师,软件工程师,高级研发工程师,技术总监,VC开发工程师,程序员
汽车工程	销售代表,汽车销售
css3+html5	web前端开发
Windows Develop-Visual C#	项目经理,研发中心副总监,QA Lead,项目总监,需求分析 咨询顾问 售前工程师,高级测试工程师,软件测试工程师,技术专家、模块设计师,产品总监,实习生
ado.net	软件工程师
遥感和GIS软件	技术支持工程师
Windows Develop-C++ builder	电子商务事业部副总经理,技术经理,射频工程师、硬件工程师、测试工程师、研发及技术接口人等相关工作,游戏事业部运营总监,分公司总经理,C++高级软件工程师或C++项目主管
动画软件	插画师
Word	销售代表,财务助理,投资经理,测量员,产品首席架构规划师,会计文员,生产计划员,项目经理,酒店总台,品牌设计师
PC (个人计算机)	技术研发人员 临床监查员 生物制药等,跟单翻译,银行柜员、客户经理
擅长stata数据分析	市场研究分析师
Socket网络编程	嵌入式开发工程师
mysql sqlserver	java软件工程师
VS2010	C/C++软件开发工程师,会计,软件开发工程师
硬件维护	it部经理
ASP	网站运营经理,英语翻译
桌面/办公软件（精通）	实习生（市场/策划/人力资源方向）、管理培训生/储备干部
ssh集成开发	java程序员
JBPM工作流，能完成常见工作流业务开发	java工程师
商业管理	大区总监
Windows Server2008	 软件实施工程师
测试理论	软件测试
PLSQL	Linux下C/C++的开发
金蝶	出纳,会计/会计助理,会计,网店运营编辑类,研发助理
lumion	效果图
