销售或人力资源相关职位	跟进,联系,信息,作者,期刊,审稿,沟通,出版,论文,反馈
招生 代理人	gt,类别,职位,月薪,工作,职责,薪水,br,颇受,跟进
IT 相关	负责,项目,br,维护,管理,职位,系统,工作,环境,服务器
财务兼行政	性质,工作,职责,全职,职位,外汇,处理,税务,RMB4350,类别
总经理负责矿山安全生产全面工作。	全职,职位,月薪,地质矿产,薪水,工作,类别,级别,冶金,职责
研发设计工程师/项目工程师	产品,分析,有限元,结构,br,模态,刚度,完成,跟进,加工
出纳，财务/会计助理	负责,br,考勤,工作,人员,职责,统计,开销,跟进,人力资源
项目经理；项目总工	沟通,疑难问题,处理,施工,manager,CareerLevel,总工,审核,Type,方案
城市环境研究员	方面,经济收益,新能源,太阳能,未来,安装,进行,政策,电价,技术
化学分析工	辅助,记录,工人,操作,数据,进行
嵌入式软件设计岗	娱乐,目前,研发部,时间,MP3,设计,CD机,方案,毕业,北京
化学、化工、技术	类别,级别,性质,合格,职位,学生,工作,其他,生产,职责
质量管理部部长	管理,职位,工作,全职,质量,采购,公司,实践经验,ISO9000,80
效果图设计	设计,br,公装,办公室,中心,甄选,施工,及效,设计师,方案设计
Engineering Project Supervisor	职位,工作,br,质量,焊接,焊缝,落实,发电机,塔类,协助
市场经理 品牌经理 企划经理	br,推广,策划,品牌,活动,投诉,完成,企业,策划案,瓶形
采销主管	类别,级别,职位,月薪,工作,初级,职责,薪水,全职,两年
企业计划管理，项目运营	负责,设备,主要,制造,涵盖,施工方,外协,施工,监造,策划
行业咨询师、顾问	芯片,有力,特性,3G,无线,版本升级,文档,基站,交付,版本
新模组主管	br,类别,工程师,职位,工作,月薪,全职,薪水,模具,产品
人力资源管理类，行政管理类，商务助理	工作,职责,学到,水电费,要求,档案管理,沟通,协助,根据,处理
项目策划/设计管理	工作,职位,br,薪水,1.2006,建筑史,2010.12,策划,期刊,设计
苏州无锡区域经理	类别,及时,职位,月薪,工作,薪水,br,全职,开发新,营业员
富士通单片机技术支持	应用,类别,相关,疑问,技术支持,工程师,现场,技术,月薪,工作
副总/人力资源总监(人力资源、企业管理）	完善,br,人力资源,负责,体系,企业,资源管理,工作,组织,薪酬
总检医师	类别,级别,经验,职位,月薪,工作,初级,职责,薪水,全职
案件处理中心	br,接听,处理,职位,月薪,工作,公司,客户,全职,分析
ABAP	LSMW,Script,Smart,PP,OLE,Workflow,Object,forms,文档,Proxy
质量受权人	负责人,受权,副总经理,容量,质量,生产,公司,注射液
工程师 企业管理	龙工,GK35,德平,设计,有限公司,汽车空调,5.0,4.0,机械,GK46
合同工程师	成本,工程,br,工作,负责,合同,EPC,谈判,审核,安装
项目经理（海外首席代表	职位,月薪,工作,项目经理,RMB8000,全职,处理,领导,销售业务,类别
审计，财务类	审计,会计师,事务所,书本,外出,高效,自己,如何,学到,支行
IDC运维工程师	RMB3500,服务器进行,处理,硬件,DC,故障,机房,类别,IDC,备件
行政/后勤/兼司机	br,重大,高管,办公室,驾驶,60,任务,通信员,一些,分队长
销售部总监	br,性质,职位,月薪,工作,团队,全职,管理,销售,亮化
福利专员	职位,工作,br,学生,级别,专员,初级,负责,职务,员工
电气、光电相关职位	生产,培训,协助,组织,设计,员工,1KW,进行,管理,销售
企业客户经理	客户,全职,职位,月薪,br,工作,了解,级别,经验,客户关系
焊接及.机器人编程.调试	工艺,焊接,br,资格证,专员,压力容器,编程,UT,机器人,150
机装现场管理	业务,韩语,类别,两年,级别,性质,经验,工作,职位,月薪
能在这社会上立足的工作	等等,打印机,电脑,网络,维修,维护
品质主管、生产管理	br,纠正,策划,质量,追溯,合格,制定,全职,管理体系,业务
旅游咨询	br,店内,工作,制作,培训,收银,协助,抗压,组织协调,线路
暑期迎新接待	先进,职责,获得,工作,薪水,职业,职位,称号,学生,月薪
PMC主管，项目经理助理、IE工程师	工艺,技术,负责,项目,br,跟进,管理工作,协调,优秀,分厂
学生处处长助理	负责,文字,RMB3500,处理,外发,信件,类别,两年,级别,性质
pcb layout engineer	类别,职位,工作,职责,全职,sch,协助,电路板,设计,检验图
外贸服装跟单员	验货,沟通,牛仔,跟单,开拓精神,绵薄之力,收款,及时,毛呢,面辅料
营销,策划,渠道,编辑,网络维护,用户体验,数据分析	渠道,项目,合作,网站,营销策划,职务,职责,活动,www,旗舰店
项目主任	br,工作,全职,职位,培训,跟进,销售,职责,类别,级别
工程总经理、副总经理	类别,工作,职位,月薪,薪水,全职,职责,住宅楼,级别,监理
CFO	br,工作,财务,职责,公司,全职,职位,负责,性质,项目
IT项目经理/主管, java高级开发工程师	项目,Windows,开发,br,描述,担任,3.0,sql,作业,TeamLeader
销售助理and行政助理	职位,工作,考勤,负责,br,办公用品,全职,RMB3500,协助,会议室
EHS部长	训练,管理,安全,制定,环境,稽核,健康,应变,紧急,演练
软件工程师 硬件工程师	图纸,帮助,简单,组长,讲解,生产,新手,识别,CAD
营业员  收银员  客服	月薪,营业员,管理,薪水,服务员,职位,职业,高级,导购员,工作
国际领队	游客,保证,北京,工作,愉快,地接,负责,导游,各项,维护
物流管理科科长	车间主任,管理,职位,月薪,薪水,全职,分析,组织,试制,科室
开发工程师、培训工程师	br,GPON,认证,项目,接入网,授课,华为,分包商,实训室,UA5000
采购 主管	ERP,供应商,以及,付款,采购,br,物料,引进,模块,期初
结算专员	资金,职责,应收,结算,细作,应付款,保证,类别,两年,级别
冷菜领班	没天,类别,调酒师,级别,RMB4500,前厅,客情,厨房,卫生,职位
投资者关系/董事会秘书/助理	协助,审计师,搜集,相关,路演,文件,工作,反馈,推介,承销商
搜索引擎优化	长尾,关键词,搜狗,流程,网络资源,seo,类别,级别,管理,职位
行政、储备、店长	CareerLevel,Type,职位,工作,JobCategory,Employment,Student,行政,类别,Full
需求分析 产品策划	负责,指南,功能完善,信贷,软件产品,流程,端的,信息,准确性,策划
学院	GPRS,显示,tslib1,程序运行,检测,触摸屏,Cotex,多线程,4.7,通信
分店店长及人事助理	类别,专员,职位,月薪,工作,薪水,全职,店内,档案管理,汇总
英语培训老师	类别,性质,月薪,工作,职责,薪水,职业,级别,职位,学生
培训经理/总监	工作,负责,品牌,营部,店铺,SKAP,培训,销售,公司,机场
行政助理或人事助理	跟进,推广,协助,处理,宣传,发放,归档,相关,文件,活动
后期合成/材质灯光	后期,地方,训练,任职期间,组织,合成,通过,领悟,策划,实拍
行政助理  办公室文员  前台接待	职位,工作,全职,类别,月薪,RMB5000,负责,薪水,主要,协调
财务分析员	br,工作,职位,月薪,财务,薪水,分析,报表,预算,类别
面板厂技术Ⅱ部	不良,时间,熟悉,工艺,进行,切实可行,及时,检修,IDLE,保养
总裁助理 人力资源管理 顾问	职位,工作,职责,br,人力资源,全职,管理,月薪,人力,资源管理
行政部专员	类别,职位,月薪,工作,公司,职责,薪水,全职,br,人事主管
英语翻译 外贸业务员	咨询服务,客户,资料,翻译,提供,产品,邮件,电话,曾多次,跟进
4S店维修接到SA	学习,完成,实践,学校,结合,实习,理论,服务,以及,接待
助理会计师	工作,审核,br,负责,报表,处理,记账,日常,报税,费用
SAP财务顾问	工作,FI,SAP,CO,项目,br,系统,顾问,上线,蓝图
车间技术员,实验员,质检员等.	协助,中试,类别,级别,实验室,职位,技术,月薪,工作,组建
环评工程师	工作,less,years,CareerLevel,类别,级别,monthly,Type,职位,月薪
投资专员，商务专员，银行柜员，理财规划师	登记,有价,备份,表外,盘交,工作,领用,领发,现金,凭证
网络维护员	类别,级别,性质,职位,月薪,工作,职责,薪水,全职,维护
PCBLAYOUT 	br,军品,PCB,一些,调试,文件,完成,LAYOUT,PCBLAYOUT,要求
郑州金诺教育机构	类别,职位,月薪,工作,负责,职责,薪水,br,分析,支行
高性能计算实施	应用,运维,军队,监控,卫星,存储,中心,管理,解决方案,政法
服装助理/服装搭配师	分析,br,RMB800,公积金,类别,级别,职位,同事,月薪,工作
医药代表 医药招商	类别,两年,医药,性质,月薪,经验,职位,工作,初级,职责
总裁、总经理、副总裁、总监	本厂,经营,协调,战略,工作,制定,职员,全厂,br,运营
总裁办行政部经理	工作,公司,行政,合同,汇总,交办,进行,管理,职责,br
 会计/审计；金融/投资/证券	分析,多种,协助,信息,搜集,完成,方法,采用,项目,行业
设计工程师助理	类别,级别,工作,职位,高级,月薪,RMB4000,职责,薪水,全职
国际市场总监	全职,工作,职责,下属,公司,br,国内,管理,职位,汇报
新生儿科医生	经验,治疗,职责,以下,新生儿,薪水,职业,职位,医生,月薪
sous chef	培训,类别,级别,性质,管理,职位,高级,月薪,工作,职责
经理、  	本职工作,做好,工作,大小,负责,br,每天,服务员,事物,尽心尽力
工程档案管理员	全职,职位,工作,负责,其他,薪水,RMB4000,甲方,月薪,类别
文娱记者	类别,级别,性质,职位,工作,实习,职责,职业,学生,负责
